Source,OutcomeID,OutcomeGrouping
PBS,1,Risk and horizon scanning
PBS,1,Regulatory regime
PBS,1,Outbreak readiness
PBS,1,International ambitions
PBS,2,Raising awareness
PBS,2,Education
PBS,2,Training
PBS,2,Citizen science
PBS,3,Intelligence and monitoring
PBS,3,Supply chains
PBS,3,Domestic production
PBS,4,Core capability
PBS,4,Collaborating and innovating to enhance capability
PBS,4,International
PBS,1,Robert
FERA,1,Robert
PBS,1,Claire
PBS,1,Callum
PBS,1,David
PBS,1,Ginger
PBS,1,Chris
